"case_id","family","structure","n_theta","n_obs","balance","regime","status","glmm_status","mm_status","n_eval_glmm","n_eval_mm","eval_ratio","dev_glmm","dev_mm","wall_glmm","wall_mm","per_eval_glmm","per_eval_mm"
"bina_cross4_g3000p100_bal_base","binomial","cross4",4,3000,"bal","base","ok","ok","ok",144,215,0.669767441860465,3524.58272920711,3524.58272920949,0.412185588,0.465968233,0.00286239991666667,0.00216729410697674
"pois_cross4_g3000p100_bal_base","poisson","cross4",4,3000,"bal","base","ok","ok","ok",140,255,0.549019607843137,3186.57386270915,3186.57386278356,0.358776635,0.615492161,0.00256269025,0.00241369474901961
"binb_nest2s_g300p20_bal_base","binomial","nest2s",4,300,"bal","base","ok","ok","engine-fail",95,0,NA,377.543625586639,NA,0.012334846,0,0.000129840484210526,0
"bina_nest2s_g300p20_bal_base","binomial","nest2s",4,300,"bal","base","ok","ok","engine-fail",116,0,NA,480.531976741173,NA,0.02472113,0,0.000213113189655172,0
"pois_nest2s_g300p20_bal_base","poisson","nest2s",4,300,"bal","base","ok","ok","engine-fail",115,0,NA,439.030185015169,NA,0.023211926,0,0.000201842834782609,0
"binb_nest2s_g3000p20_bal_base","binomial","nest2s",4,3000,"bal","base","ok","ok","engine-fail",158,0,NA,3826.74831422699,NA,0.211599614,0,0.00133923806329114,0
"bina_nest2s_g3000p20_bal_base","binomial","nest2s",4,3000,"bal","base","ok","ok","engine-fail",118,0,NA,4569.687827659,NA,0.318030158,0,0.00269517083050847,0
"bina_nest2s_g3000p20_skew_base","binomial","nest2s",4,3000,"skew","base","ok","ok","engine-fail",118,0,NA,4106.5725569472,NA,0.317081631,0,0.00268713246610169,0
"bina_nest2s_g3000p20_bal_rare","binomial","nest2s",4,3000,"bal","rare","ok","ok","engine-fail",115,0,NA,2631.55271945673,NA,0.25765807,0,0.00224050495652174,0
"bina_nest2s_g3000p20_bal_nearzero","binomial","nest2s",4,3000,"bal","nearzero","ok","ok","engine-fail",124,0,NA,4197.5890452102,NA,0.325286837,0,0.00262328094354839,0
"pois_nest2s_g3000p20_bal_base","poisson","nest2s",4,3000,"bal","base","ok","ok","engine-fail",121,0,NA,4498.19620624292,NA,0.272589731,0,0.00225280769421488,0
"pois_nest2s_g3000p20_skew_base","poisson","nest2s",4,3000,"skew","base","ok","ok","engine-fail",117,0,NA,4020.17421809203,NA,0.247280689,0,0.00211351016239316,0
"pois_nest2s_g3000p20_bal_lowmu","poisson","nest2s",4,3000,"bal","lowmu","ok","ok","engine-fail",107,0,NA,3486.874814071,NA,0.275320557,0,0.00257308931775701,0
"pois_nest2s_g3000p20_bal_nearzero","poisson","nest2s",4,3000,"bal","nearzero","ok","ok","engine-fail",141,0,NA,4069.95742386529,NA,0.303807016,0,0.00215465968794326,0
"binb_nest2s_g3000p100_bal_base","binomial","nest2s",4,3000,"bal","base","ok","ok","engine-fail",110,0,NA,3533.10496738422,NA,0.11825933,0,0.00107508481818182,0
"binb_nest2s_g3000p100_skew_base","binomial","nest2s",4,3000,"skew","base","ok","ok","engine-fail",107,0,NA,3447.35456988778,NA,0.115823612,0,0.0010824636635514,0
